uid,perc_repeat_2,perc_repeat_7,perc_repeat_30,perc_repeat_inf
2833,0.36435643564356435,0.6277227722772277,0.697029702970297,0.8415841584158416
2835,0.04,0.04,0.04,0.19999999999999996
2836,0.33678756476683935,0.5673575129533679,0.6450777202072538,0.7305699481865284
2838,0.22972972972972974,0.2702702702702703,0.2702702702702703,0.3783783783783784
2843,0.47150997150997154,0.7008547008547008,0.801994301994302,0.9138176638176638
2844,0.16,0.16,0.16,0.19999999999999996
2845,0.34049409237379163,0.5886143931256713,0.6906552094522019,0.7282491944146079
2846,0.4844961240310077,0.7093023255813954,0.8410852713178295,0.8875968992248062
2847,0.1834862385321101,0.30275229357798167,0.3944954128440367,0.4862385321100917
2849,0.04680851063829787,0.13617021276595745,0.225531914893617,0.27234042553191484
2851,0.297085201793722,0.5639013452914798,0.6659192825112108,0.7477578475336323
2854,0.4109972041006524,0.6216216216216216,0.7269338303821062,0.7875116495806151
2856,0.03125,0.07291666666666667,0.13541666666666666,0.22916666666666663
2857,0.2506811989100817,0.49182561307901906,0.6335149863760218,0.6893732970027249
2859,0.40448179271708684,0.6504201680672269,0.7831932773109244,0.8683473389355743
2860,0.1702127659574468,0.3829787234042553,0.3829787234042553,0.44680851063829785
2865,0.24503311258278146,0.48013245033112584,0.5894039735099338,0.6324503311258278
2866,0.4995060915377017,0.6697398748765229,0.7151794534079684,0.9743167599604873
2869,0.3488372093023256,0.4418604651162791,0.49767441860465117,0.5255813953488372
2870,0.1341991341991342,0.5584415584415584,0.8051948051948052,0.8614718614718615
2871,0.20588235294117646,0.20588235294117646,0.2647058823529412,0.32352941176470584
2872,0.29859154929577464,0.4535211267605634,0.5577464788732395,0.7915492957746479
2874,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.14814814814814814
2876,0.26640926640926643,0.43243243243243246,0.5096525096525096,0.5637065637065637
2877,0.034482758620689655,0.16748768472906403,0.22660098522167488,0.2660098522167488
2878,0.2803030303030303,0.4803030303030303,0.5924242424242424,0.6924242424242424
2879,0.3123425692695214,0.5188916876574308,0.5768261964735516,0.6372795969773299
2880,0.15352697095435686,0.35684647302904565,0.47717842323651455,0.5020746887966805
2881,0.3615916955017301,0.615916955017301,0.7335640138408305,0.8598615916955017
2882,0.2235294117647059,0.4,0.4588235294117647,0.5058823529411764
2883,0.19694072657743786,0.4837476099426386,0.6347992351816444,0.745697896749522
2886,0.046153846153846156,0.09230769230769231,0.12307692307692308,0.12307692307692308
2887,0.14285714285714285,0.26785714285714285,0.4642857142857143,0.5357142857142857
2888,0.3333333333333333,0.5283687943262412,0.5780141843971631,0.6702127659574468
2889,0.20967741935483872,0.25806451612903225,0.3387096774193548,0.3870967741935484
2890,0.2127659574468085,0.2978723404255319,0.3191489361702128,0.34042553191489366
2891,0.36054421768707484,0.5170068027210885,0.5850340136054422,0.6666666666666667
2892,0.3012211668928087,0.49389416553595655,0.5915875169606513,0.6784260515603799
2893,0.2515527950310559,0.45652173913043476,0.546583850931677,0.6428571428571428
2894,0.16494845360824742,0.3711340206185567,0.3917525773195876,0.4226804123711341
2895,0.46215139442231074,0.6613545816733067,0.7290836653386454,0.8366533864541833
2898,0.15384615384615385,0.4230769230769231,0.6318681318681318,0.6483516483516483
2899,0.07291666666666667,0.21875,0.3333333333333333,0.39583333333333337
2900,0.3893805309734513,0.661188369152971,0.7686472819216182,0.8634639696586599
2902,0.3465783664459161,0.6136865342163356,0.739514348785872,0.8421633554083885
2903,0.21638018200202225,0.455005055611729,0.583417593528817,0.6541961577350859
2904,0.25316455696202533,0.5240506329113924,0.6303797468354431,0.7341772151898734
2905,0.1218274111675127,0.2436548223350254,0.34517766497461927,0.4010152284263959
2908,0.16292134831460675,0.2640449438202247,0.33146067415730335,0.3595505617977528
2909,0.08064516129032258,0.12096774193548387,0.20161290322580644,0.3145161290322581
2911,0.1646234676007005,0.3520140105078809,0.4956217162872154,0.5691768826619965
2912,0.17475728155339806,0.48220064724919093,0.6504854368932039,0.6893203883495146
2913,0.16666666666666666,0.47619047619047616,0.5,0.5
2914,0.41580756013745707,0.6288659793814433,0.718213058419244,0.8333333333333334
2915,0.18181818181818182,0.3,0.38181818181818183,0.3909090909090909
2916,0.07692307692307693,0.3333333333333333,0.358974358974359,0.3589743589743589
2917,0.424390243902439,0.640650406504065,0.7691056910569106,0.8130081300813008
2918,0.30393996247654786,0.49530956848030017,0.5853658536585366,0.6810506566604128
2919,0.29699248120300753,0.5037593984962406,0.6090225563909775,0.6541353383458647
2920,0.2673992673992674,0.43223443223443225,0.5494505494505495,0.6098901098901099
2921,0.30220713073005095,0.5517826825127334,0.6808149405772496,0.7707979626485568
2925,0.3497942386831276,0.5123456790123457,0.6502057613168725,0.6851851851851851
2926,0.30357142857142855,0.4642857142857143,0.48214285714285715,0.5714285714285714
2927,0.6388206388206388,0.8304668304668305,0.8968058968058968,0.9189189189189189
2928,0.15,0.3333333333333333,0.5055555555555555,0.5777777777777777
2930,0.23333333333333334,0.4444444444444444,0.4888888888888889,0.5888888888888889
2931,0.2709677419354839,0.49032258064516127,0.6,0.6290322580645161
2932,0.2226148409893993,0.40636042402826855,0.5724381625441696,0.6360424028268552
2933,0.13333333333333333,0.3047619047619048,0.38095238095238093,0.47619047619047616
2934,0.0,0.0,0.1,0.23333333333333328
2935,0.22285714285714286,0.38,0.44857142857142857,0.6228571428571428
2937,0.30405405405405406,0.49493243243243246,0.5929054054054054,0.6621621621621622
2939,0.13963039014373715,0.30184804928131415,0.5831622176591376,0.6714579055441479
2940,0.19047619047619047,0.27380952380952384,0.2976190476190476,0.3214285714285714
2941,0.5456545654565457,0.7656765676567657,0.8272827282728272,0.8932893289328933
2942,0.34545454545454546,0.5181818181818182,0.5181818181818182,0.6545454545454545
2943,0.16666666666666666,0.3333333333333333,0.40476190476190477,0.47619047619047616
2944,0.12083333333333333,0.2625,0.31666666666666665,0.38749999999999996
2945,0.13559322033898305,0.3559322033898305,0.559322033898305,0.6483050847457628
2946,0.33636363636363636,0.4636363636363636,0.5454545454545454,0.6181818181818182
2947,0.39481996209728365,0.6557169930511687,0.7511054958938724,0.8774478837650032
