uid,Meal,Model,nDCG@5
93,snack,Mixture Decay,0.4166207793431858
94,breakfast,Mixture Decay,0.6655948625667082
94,dinner,Mixture Decay,0.5017175348783216
94,lunch,Mixture Decay,0.5584966609653326
94,snack,Mixture Decay,0.7400924686084238
96,breakfast,Mixture Decay,0.6455238991784187
96,dinner,Mixture Decay,0.17521037785185992
96,lunch,Mixture Decay,0.2461351779778301
96,snack,Mixture Decay,0.3080430476410897
97,breakfast,Mixture Decay,0.7103099178571525
97,dinner,Mixture Decay,0.37663125439684775
97,lunch,Mixture Decay,0.05921638219317305
97,snack,Mixture Decay,0.16201023887073315
98,breakfast,Mixture Decay,0.4666641824497861
98,dinner,Mixture Decay,0.2978047565823169
98,lunch,Mixture Decay,0.6136855899766196
99,breakfast,Mixture Decay,0.4136889610790812
99,dinner,Mixture Decay,0.0
99,lunch,Mixture Decay,0.08759245610935121
99,snack,Mixture Decay,0.0
100,breakfast,Mixture Decay,0.5600959294803954
100,dinner,Mixture Decay,0.2926256117024749
100,lunch,Mixture Decay,0.1731857472588357
100,snack,Mixture Decay,0.3915326940468236
101,breakfast,Mixture Decay,0.926236125963585
101,dinner,Mixture Decay,0.3546786438665267
101,lunch,Mixture Decay,0.3788932630801285
101,snack,Mixture Decay,0.4751603845904596
102,breakfast,Mixture Decay,0.4809701567701333
102,dinner,Mixture Decay,0.17021073465005476
102,lunch,Mixture Decay,0.3086754909727152
102,snack,Mixture Decay,0.4309264479070895
103,breakfast,Mixture Decay,0.2718216255952429
103,dinner,Mixture Decay,0.0
103,lunch,Mixture Decay,0.0
103,snack,Mixture Decay,0.0
104,breakfast,Mixture Decay,0.9643242563838336
104,dinner,Mixture Decay,0.0771938534051093
104,lunch,Mixture Decay,0.1748899370628137
104,snack,Mixture Decay,0.8211685769652979
106,breakfast,Mixture Decay,0.0
106,lunch,Mixture Decay,0.0
106,snack,Mixture Decay,0.0
108,breakfast,Mixture Decay,0.3575670451783203
108,dinner,Mixture Decay,0.0
108,lunch,Mixture Decay,0.3652529600732727
108,snack,Mixture Decay,0.35812653584229165
109,breakfast,Mixture Decay,0.2551202123295406
109,dinner,Mixture Decay,0.0
109,lunch,Mixture Decay,0.0
109,snack,Mixture Decay,0.0
110,breakfast,Mixture Decay,0.6502803139069665
110,dinner,Mixture Decay,0.2249498061114017
110,lunch,Mixture Decay,0.37431428480550605
110,snack,Mixture Decay,0.27592836245360186
111,breakfast,Mixture Decay,0.6474203416497663
111,dinner,Mixture Decay,0.12004531311286235
111,lunch,Mixture Decay,0.18972393666903886
111,snack,Mixture Decay,0.3575887180375292
112,breakfast,Mixture Decay,0.08802270752419694
112,dinner,Mixture Decay,0.18848829226190955
112,lunch,Mixture Decay,0.5
112,snack,Mixture Decay,0.6021911987942431
114,breakfast,Mixture Decay,0.3468377609559314
114,dinner,Mixture Decay,0.2941151065197666
114,lunch,Mixture Decay,0.3067567636769845
114,snack,Mixture Decay,0.21281235403393486
116,snack,Mixture Decay,0.10587368603991357
117,breakfast,Mixture Decay,0.9038918668340769
117,dinner,Mixture Decay,0.10001566839462274
117,lunch,Mixture Decay,0.5568393896081795
117,snack,Mixture Decay,0.7423327499837143
118,breakfast,Mixture Decay,0.3922132356101147
118,dinner,Mixture Decay,0.3760500779221816
118,lunch,Mixture Decay,0.12197875318901735
118,snack,Mixture Decay,0.7776966378163758
119,breakfast,Mixture Decay,0.494542501606439
119,dinner,Mixture Decay,0.25
119,lunch,Mixture Decay,0.2782867981913646
121,breakfast,Mixture Decay,0.7143767780960195
121,dinner,Mixture Decay,0.09608488384790473
