uid,perc_repeat_7,gender,age_group,regions_us
289,0.714828897338403,Male,18-44,West
290,0.20910973084886128,Female,18-44,NA
291,0.4389312977099237,Female,45+,West
292,0.375,Female,18-44,West
293,0.4082687338501292,NA,NA,NA
294,0.6955223880597015,Female,18-44,Midwest
295,0.6167557932263814,NA,NA,NA
296,0.3613138686131387,Female,45+,South
297,0.31362467866323906,Female,18-44,NA
298,0.2111111111111111,Female,18-44,West
299,0.19047619047619047,Female,18-44,Northeast
300,0.2904040404040404,Female,18-44,Northeast
301,0.25267665952890794,Female,18-44,Northeast
303,0.030303030303030304,Female,18-44,West
304,0.5056603773584906,Female,45+,NA
305,0.5259259259259259,Female,18-44,NA
306,0.22099447513812154,Female,18-44,Midwest
307,0.5496535796766744,Female,18-44,South
308,0.3492063492063492,Female,18-44,West
309,0.33636363636363636,Female,18-44,South
310,0.5352380952380953,NA,NA,NA
311,0.15873015873015872,Male,18-44,South
313,0.08450704225352113,Female,45+,South
314,0.09302325581395349,Female,45+,Midwest
318,0.22842639593908629,Female,18-44,South
322,0.35584415584415585,Male,18-44,Midwest
323,0.210727969348659,Female,18-44,NA
324,0.21621621621621623,Female,18-44,South
325,0.6325878594249201,Male,18-44,South
326,0.34685314685314683,Male,18-44,Northeast
327,0.3944954128440367,Male,18-44,West
328,0.5619469026548672,Male,45+,South
329,0.6370370370370371,Male,18-44,Northeast
330,0.13333333333333333,Female,18-44,Midwest
331,0.7517814726840855,Female,18-44,South
332,0.6867612293144209,Female,18-44,Midwest
333,0.5635910224438903,Female,18-44,Midwest
334,0.33557046979865773,Male,18-44,Midwest
335,0.3783783783783784,Female,18-44,Midwest
338,0.208955223880597,Female,18-44,West
339,0.6096997690531177,NA,NA,NA
340,0.5121107266435986,NA,NA,NA
341,0.5075987841945289,Female,45+,NA
342,0.4166666666666667,Female,18-44,Northeast
343,0.474025974025974,NA,NA,NA
344,0.4367732558139535,Female,18-44,South
345,0.46387832699619774,Female,18-44,West
346,0.4330708661417323,NA,NA,NA
347,0.26635514018691586,Female,18-44,Midwest
348,0.56752655538695,Male,18-44,Northeast
349,0.5550239234449761,Male,18-44,West
352,0.075,NA,NA,NA
353,0.6479514415781487,Female,45+,South
355,0.29133858267716534,Male,18-44,Midwest
356,0.3188405797101449,Female,45+,NA
357,0.35883905013192613,Male,18-44,Midwest
358,0.35135135135135137,Male,45+,West
359,0.2874432677760968,NA,NA,NA
360,0.37158469945355194,Female,18-44,NA
361,0.5014836795252225,Female,18-44,Midwest
362,0.5,Female,45+,South
