uid,Model,nDCG@5,Gender,US Regions,Age Groups
294,Mixture Decay,0.6663565184842198,Female,Midwest,18-44
295,Mixture Decay,0.6571549272369186,,,
296,Mixture Decay,0.5914592633033076,Female,South,45+
297,Mixture Decay,0.2888639309403793,Female,,18-44
298,Mixture Decay,0.2400965491534054,Female,West,18-44
299,Mixture Decay,0.21000556547766544,Female,Northeast,18-44
300,Mixture Decay,0.20994041344912906,Female,Northeast,18-44
301,Mixture Decay,0.16658062440451366,Female,Northeast,18-44
304,Mixture Decay,0.5828700085574899,Female,,45+
305,Mixture Decay,0.4250309523248148,Female,,18-44
306,Mixture Decay,0.15976106262362624,Female,Midwest,18-44
307,Mixture Decay,0.5129010236913689,Female,South,18-44
308,Mixture Decay,0.43085583264446337,Female,West,18-44
309,Mixture Decay,0.3837215106137021,Female,South,18-44
310,Mixture Decay,0.4560302903898505,,,
313,Mixture Decay,0.07821312100379275,Female,South,45+
314,Mixture Decay,0.0427972529469055,Female,Midwest,45+
318,Mixture Decay,0.140206137603166,Female,South,18-44
322,Mixture Decay,0.2186168059137616,Male,Midwest,18-44
323,Mixture Decay,0.16019011539930528,Female,,18-44
324,Mixture Decay,0.28159468935801724,Female,South,18-44
325,Mixture Decay,0.6223661176610434,Male,South,18-44
326,Mixture Decay,0.31290976809374804,Male,Northeast,18-44
327,Mixture Decay,0.578097725137072,Male,West,18-44
328,Mixture Decay,0.8456006100799845,Male,South,45+
329,Mixture Decay,0.7399433904207197,Male,Northeast,18-44
331,Mixture Decay,0.7057897203334128,Female,South,18-44
332,Mixture Decay,0.7842309317001798,Female,Midwest,18-44
333,Mixture Decay,0.5107028536819186,Female,Midwest,18-44
334,Mixture Decay,0.39312479263878597,Male,Midwest,18-44
335,Mixture Decay,0.5313637542871571,Female,Midwest,18-44
338,Mixture Decay,0.09323749903306656,Female,West,18-44
339,Mixture Decay,0.5899469009329594,,,
340,Mixture Decay,0.5154764003123535,,,
341,Mixture Decay,0.5336047542991037,Female,,45+
342,Mixture Decay,0.6485747547299993,Female,Northeast,18-44
343,Mixture Decay,0.4906827758316154,,,
344,Mixture Decay,0.27835570322318953,Female,South,18-44
345,Mixture Decay,0.3396182810367489,Female,West,18-44
346,Mixture Decay,0.3130400197365389,,,
347,Mixture Decay,0.2480377552052179,Female,Midwest,18-44
348,Mixture Decay,0.4100209033123183,Male,Northeast,18-44
349,Mixture Decay,0.3740965597610864,Male,West,18-44
353,Mixture Decay,0.6932972712561385,Female,South,45+
355,Mixture Decay,0.18879009573183533,Male,Midwest,18-44
357,Mixture Decay,0.3249753030673944,Male,Midwest,18-44
